Activity Name,found_in_crs,Activity Description,Activity Project Number,crs_text,action\ anticipatoire,action\ d\ anticipation,anticipatory,fbf,forecast\ based,riposte\ anticipative,start\ ready,adrifi,african\ risk\ capacity,arc\ premium,arc\ replica,assurance\ climatique,assurance\ contre\ les\ catastrophes,assurance\ contre\ les\ desastres,assurance\ indicielle,assurance\ secheresse,cat\ ddo,ddo,catastrophe\ deferred\ drawdown\ option,deferred\ drawdown\ option,catastrophe\ insurance,ccrif,centre\ for\ disaster\ protection,cerc,climate\ insurance,contingency\ plan,contingent\ credit,contingency\ plans,contingent\ credits,contingent\ emergency\ response\ component,contingent\ financing,contingent\ loan,contingent\ loans,crisis\ modifier,dedommagement,disaster\ financing,disaster\ finance,disaster\ insurance,disaster\ relief\ emergency\ fund,disaster\ resilience\ improvement\ program,disaster\ resilience\ program,disaster\ risk\ finance,dref,drf,drought\ insurance,early\ action,early\ response,financement\ de\ la\ riposte\ aux\ desastres,financial\ preparedness,grif,humanitarian\ insurance,index\ insurance,insuresilience,parametric,payout,payouts,pcric,premium\ subsidies,premium\ subsidy,riposte\ aux\ choques,risk\ financing,risk\ finance,risk\ insurance,risk\ mapping,risk\ monitoring,risk\ pool,risk\ transfer,risk\ pools,risque\ de\ catastrophe,risques\ de\ catastrophe,science\ for\ humanitarian\ emergencies\ and\ resilience,sfera,shear,subventions\ de\ prime\ d\ assurance,transfert\ de\ risque
Africa Disaster Risk Financing,FALSE,This program will help African governments improve their capacities to respond to food insecurity caused or exacerbated by extreme climate events by increasing access to risk insurance products that would make them less vulnerable to future shocks.,SAQMIP23GR0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,
"Governance, Response Readiness, Institutional and Community Preparedness in Southeast Bangladesh (GRIP) Activity.",FALSE,Strengthening Disaster Risk Governance and Community Early Warning and Early Action Systems for Multi-hazard Preparedness and Response in Southeastern Bangladesh.,72038823IO00003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFRC DREF Contribution,FALSE,To support the IFRC Disaster Relief Emergency Fund program to replensh funds allocated for population movements resulting from conflict,SPRMCO20VC0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFRC FY 2023 NSIA and DREF,FALSE,"Funding to support IFRC's National Society Investment Alliance for strategic development and capacity building, and the Disaster Relief Emergency Fund for operations for population movements resulting from conflict-related emergencies",SPRMCO23VC0330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partnership for Regional East Africa Counterterrorism (PREACT): Early Warning/Early Response for Countering Violent Extremism,FALSE,"Expand field of research and applicability of innovative and effective early warning and early response systems for Countering Violent Extremism (CVE) among practitioners in Djibouti, Kenya, Tanzania, Uganda, and Somalia. Managed by Embassy Djibouti.",NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMS Early Warning and Early Response V2,FALSE,To reduce violence against civilians in at-risk areas of Nigeria by enhancing early warning and early response efforts.,SLMAQM21CA3219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
