year,Country Code,Country Name,dac_humanitarian_usd_disbursement_deflated,us_humanitarian_usd_disbursement_deflated
2022,AFG,Afghanistan,600157915,668548569
2022,AGO,Angola,3132508,3132508
2022,ALB,Albania,11922,11922
2022,ANS,"Asia, Middle East and North Africa Region",738860,738860
2022,ARE,United Arab Emirates,653670,653670
2022,ARM,Armenia,1019519,1019519
2022,ASN,Asia Region,4942631,4942631
2022,BDI,Burundi,21339114,20868546
2022,BFA,Burkina Faso,90543088,109269873
2022,BGD,Bangladesh,265546966,279841294
2022,BGR,Bulgaria,1784,1784
2022,BHS,Bahamas,55516,55516
2022,BIH,Bosnia and Herzegovina,309800,309800
2022,BLR,Belarus,1110503,1110503
2022,BLZ,Belize,411554,411554
2022,BOL,Bolivia,211215,211215
2022,BRA,Brazil,22035064,29940106
2022,BRB,Barbados,35164,35164
2022,BWA,Botswana,32186,32186
2022,CAF,Central African Republic,168874342,186365986
2022,CHL,Chile,297876,297876
2022,CIV,Cote d'Ivoire,97737,97737
2022,CMR,Cameroon,67945061,78992715
2022,CNA,Central America Region,22355344,23696198
2022,COD,Congo (Kinshasa),297681865,380678705
2022,COG,Congo (Brazzaville),1257113,4402768
2022,COL,Colombia,207779388,252012329
2022,CPV,Cabo Verde,100000,100000
2022,CRI,Costa Rica,5308998,5308998
2022,CRN,Caribbean Region,13105131,13261841
2022,CYP,Cyprus,12500,12500
2022,DJI,Djibouti,7638216,12661625
2022,DOM,Dominican Republic,1256308,1450200
2022,DZA,Algeria,1379435,1379435
2022,EAG,Eastern Africa Region,117206,117206
2022,EAQ,East Asia and Oceania Region,18300000,18300000
2022,ECU,Ecuador,51388861,61916935
2022,EEN,Eastern Europe Region,1180073,1180073
2022,EGY,Egypt,27392847,28358451
2022,ENS,Eastern Asia Region,63819192,63819192
2022,ETH,Ethiopia,1171004930,1411723561
2022,EUN,Europe Region,298403631,298403631
2022,EUS,Eurasia Region,562664,562664
2022,FJI,Fiji,693903,693903
2022,FSM,"Micronesia, Federated States of",5320644,5320644
2022,GEO,Georgia,386793,386793
2022,GIN,Guinea,29088,29088
2022,GMB,Gambia,24048,24048
2022,GNQ,Equatorial Guinea,149939,149939
2022,GRC,Greece,-115375,-115375
2022,GTM,Guatemala,18350261,47440062
2022,GUY,Guyana,431834,431834
2022,HND,Honduras,34747105,47062514
2022,HTI,Haiti,85454032,94180089
2022,HUN,Hungary,259277,259277
2022,IDN,Indonesia,5028616,5028616
2022,IND,India,3839288,3839288
2022,IRQ,Iraq,138841888,146648212
2022,ISR,Israel,5129757,5129757
2022,ITA,Italy,6412,6412
2022,JAM,Jamaica,4627246,4627246
2022,JOR,Jordan,132460895,140787621
2022,JPN,Japan,299052,299052
2022,KAZ,Kazakhstan,105000,105000
2022,KEN,Kenya,219173827,249602606
2022,KGZ,Kyrgyzstan,66766,83457
2022,KHM,Cambodia,1365918,1365918
2022,KIR,"Kiribati, Republic of",9565,9565
2022,KOR,"Korea, Republic of",357615,357615
2022,LAN,Latin America Region,452,452
2022,LAO,Laos,488282,488282
2022,LBN,Lebanon,187531063,204097265
2022,LBR,Liberia,455710,620728
2022,LBY,Libya,6352120,8872682
2022,LCN,Latin America and Caribbean Region,107711900,107711900
2022,LKA,Sri Lanka,3427859,3427859
2022,LVA,Latvia,25681,25681
2022,MAR,Morocco,9800,9800
2022,MDA,Moldova,10208228,10208228
2022,MDG,Madagascar,93211244,121930986
2022,MEN,Middle East Region,39842819,39842819
2022,MEX,Mexico,27327581,27327581
2022,MHL,Marshall Islands,339860,339860
2022,MLI,Mali,69679232,66818846
2022,MLT,Malta,133245,133245
2022,MMR,Burma (Myanmar),55182951,58952599
2022,MNA,North Africa Region,24229793,24229793
2022,MNE,Montenegro,9998,9998
2022,MNG,Mongolia,740310,740310
2022,MNS,Middle East and North Africa Region,1158320454,1158320454
2022,MOZ,Mozambique,96277225,123993621
2022,MRT,Mauritania,14138303,14138303
2022,MWI,Malawi,9678076,11777729
2022,MYS,Malaysia,2028855,2028855
2022,NAM,Namibia,13603,13603
2022,NER,Niger,99383795,116502396
2022,NGA,Nigeria,292914203,326701320
