year,Country Code,Country Name,dac_humanitarian_usd_disbursement_deflated,us_humanitarian_usd_disbursement_deflated
2022,NIC,Nicaragua,10786601,7874191
2022,NPL,Nepal,13806869,13942823
2022,OCN,Oceania Region,1112547,4258337
2022,OMN,Oman,26,26
2022,PAK,Pakistan,28373301,28529070
2022,PAN,Panama,2308193,2308193
2022,PER,Peru,58612430,76300534
2022,PHL,Philippines,24895929,24895929
2022,PLW,Palau,558948,558948
2022,PNG,Papua New Guinea,1537281,1537281
2022,PRY,Paraguay,126380,126380
2022,PSE,West Bank and Gaza,44384840,44431047
2022,ROU,Romania,1011252,1011252
2022,RWA,Rwanda,19047458,19047458
2022,SAG,Southern Africa Region,2432837,2432837
2022,SAN,Southern Asia Region,15439973,15439973
2022,SCN,South and Central Asia Region,178001179,178001179
2022,SDN,Sudan,487752076,568907017
2022,SEN,Senegal,1885545,2141911
2022,SLB,Solomon Islands,1257361,1257361
2022,SLE,Sierra Leone,-759040,-759040
2022,SLV,El Salvador,14906409,17499569
2022,SMN,South America Region,15058630,15726131
2022,SOM,Somalia,533234644,609979737
2022,SRB,Serbia,28024,28024
2022,SSD,South Sudan,840824096,974664665
2022,SSN,Sub-Saharan Africa Region,968133028,970086357
2022,SWZ,Eswatini,-39302,-39302
2022,SYR,Syria,707129555,847914678
2022,TCD,Chad,65499269,89494882
2022,THA,Thailand,28290467,28290467
2022,TLS,Timor-Leste,1804240,1804240
2022,TON,Tonga,1322759,1322759
2022,TTO,Trinidad and Tobago,529264,529264
2022,TUR,Turkey,64284438,65172086
2022,TUV,Tuvalu,38152,38152
2022,TWN,Taiwan,117202,117202
2022,TZA,Tanzania,26898029,25320967
2022,UGA,Uganda,105798518,123465107
2022,UKR,Ukraine,570635213,577243917
2022,URY,Uruguay,14933,14933
2022,VCT,St. Vincent and Grenadines,3272147,3272147
2022,VEN,Venezuela,123756594,138285084
2022,VNM,Vietnam,1273475,2249534
2022,VUT,Vanuatu,321734,321734
2022,WAN,West Africa Region,6165567,7536719
2022,WHN,Western Hemisphere Region,288252618,288349613
2022,WLD,World,1230135302,983052718
2022,WSM,Samoa,246733,246733
2022,YEM,Yemen,889918024,1029887988
2022,ZAF,South Africa,1749875,3435915
2022,ZMB,Zambia,1682169,1683356
2022,ZWE,Zimbabwe,44186982,89215553
2023,AFG,Afghanistan,774781184,774769057
2023,AGO,Angola,7137333,7137333
2023,ALB,Albania,276016,276016
2023,ARE,United Arab Emirates,18935,18935
2023,ARM,Armenia,353066,353066
2023,ASN,Asia Region,3498395,3498395
2023,AZE,Azerbaijan,812,812
2023,BDI,Burundi,20462752,22013012
2023,BEN,Benin,7755,7755
2023,BFA,Burkina Faso,64933936,79019276
2023,BGD,Bangladesh,196124123,197752682
2023,BGR,Bulgaria,1428871,1428871
2023,BHS,Bahamas,-6550,-6550
2023,BIH,Bosnia and Herzegovina,256835,256835
2023,BLR,Belarus,917212,917212
2023,BLZ,Belize,2212145,2212145
2023,BOL,Bolivia,105074,105074
2023,BRA,Brazil,13682672,13598975
2023,CAF,Central African Republic,109834952,123501697
2023,CHL,Chile,805610,805610
2023,CIV,Cote d'Ivoire,229922,229922
2023,CMR,Cameroon,40792519,50474177
2023,CNA,Central America Region,21235537,22245227
2023,COD,Congo (Kinshasa),797349324,807063828
2023,COG,Congo (Brazzaville),2850866,3576338
2023,COL,Colombia,221855413,221855413
2023,CPV,Cabo Verde,0,0
2023,CRI,Costa Rica,6748376,6748376
2023,CRN,Caribbean Region,13637246,13637246
2023,CUB,Cuba,1322642,1322642
2023,CYP,Cyprus,40060,40060
2023,DJI,Djibouti,9957096,11444502
2023,DMA,Dominica,6601,6601
2023,DOM,Dominican Republic,1312870,1312870
2023,DZA,Algeria,2031681,2031681
2023,EAG,Eastern Africa Region,2751381,2751381
2023,EAQ,East Asia and Oceania Region,21460464,21460464
2023,ECU,Ecuador,41393168,41269007
2023,EEE,Central and Eastern Europe Region,4350273,4350273
2023,EEN,Eastern Europe Region,579311,579311
2023,EES,Europe and Eurasia Region,298740157,298740157
2023,EGY,Egypt,17592110,17592110
2023,ENS,Eastern Asia Region,11350200,11350200
2023,ETH,Ethiopia,1119997234,1376387635
2023,EUN,Europe Region,382108,382108
2023,EUS,Eurasia Region,2466839,2466839
2023,FJI,Fiji,891943,891943
2023,FSM,"Micronesia, Federated States of",13521463,13521463
2023,GEO,Georgia,,32277
2023,GHA,Ghana,9226,
2023,GIN,Guinea,14508,14508
2023,GMB,Gambia,8908,8908
2023,GTM,Guatemala,28096936,28128473
2023,GUY,Guyana,118526,118526
2023,HND,Honduras,31043313,32559482
2023,HTI,Haiti,101689614,112145555
2023,HUN,Hungary,408524,408524
2023,IDN,Indonesia,4225896,4225896
2023,IND,India,2075482,2075482
2023,IRQ,Iraq,97682949,98312557
2023,ISR,Israel,23844,23844
2023,ITA,Italy,4038,4038
2023,JAM,Jamaica,1598458,1598458
2023,JOR,Jordan,109054270,109054270
2023,JPN,Japan,309479,309479
2023,KAZ,Kazakhstan,19028,19028
2023,KEN,Kenya,314672350,307245623
2023,KGZ,Kyrgyzstan,119753,136059
2023,KHM,Cambodia,553499,553499
2023,KIR,"Kiribati, Republic of",141397,141397
2023,KOR,"Korea, Republic of",311146,311146
2023,LAO,Laos,980366,980366
2023,LBN,Lebanon,199205744,199265518
2023,LBY,Libya,5731291,6318545
2023,LCN,Latin America and Caribbean Region,16282383,16282383
2023,LKA,Sri Lanka,17001330,17001330
2023,LVA,Latvia,23454,23454
2023,MAR,Morocco,45610,45610
2023,MDA,Moldova,6063724,6063724
2023,MDG,Madagascar,49749519,76720939
2023,MDV,Maldives,101648,101648
2023,MEN,Middle East Region,114701538,44818075
2023,MEX,Mexico,25621341,25621341
2023,MHL,Marshall Islands,361385,361385
2023,MLI,Mali,62802332,71416805
2023,MLT,Malta,405965,405965
2023,MMR,Burma (Myanmar),85554786,85554786
2023,MNA,North Africa Region,7656141,7656141
2023,MNG,Mongolia,92724,92724
2023,MNS,Middle East and North Africa Region,647414223,647414223
2023,MOZ,Mozambique,108240576,118176769
2023,MRT,Mauritania,12734340,12734340
2023,MWI,Malawi,15972355,15972355
2023,MYS,Malaysia,1442264,1442264
2023,NAM,Namibia,12399,12399
2023,NER,Niger,102624307,120282885
2023,NGA,Nigeria,271932719,277517089
2023,NIC,Nicaragua,6614073,3425442
2023,NPL,Nepal,7188553,7196673
2023,NZL,New Zealand,2311,2311
2023,OCN,Oceania Region,2574179,5018831
2023,OMN,Oman,2018,2018
2023,PAK,Pakistan,80335707,80335707
2023,PAN,Panama,4375337,4375337
2023,PER,Peru,58521157,58484844
2023,PHL,Philippines,11339947,11317938
2023,PLW,Palau,231763,231763
2023,PNG,Papua New Guinea,3183390,3183390
2023,POL,Poland,8172,8172
2023,PSE,West Bank and Gaza,30096054,30096054
2023,ROU,Romania,4545057,4545057
2023,RWA,Rwanda,13972506,13972506
2023,SAG,Southern Africa Region,1843994,1843994
2023,SAN,Southern Asia Region,39232235,39232235
2023,SCN,South and Central Asia Region,461013341,461013341
2023,SDF,Sudan (former),,-33298
2023,SDN,Sudan,375980548,442208045
2023,SEN,Senegal,1349020,1349020
2023,SLB,Solomon Islands,562982,562982
2023,SLV,El Salvador,17650212,17648017
2023,SMN,South America Region,4111240,4171461
2023,SOM,Somalia,827420414,883282383
2023,SSD,South Sudan,468922143,620633542
2023,SSN,Sub-Saharan Africa Region,826637899,840093090
2023,SYR,Syria,755643338,755945438
2023,TCD,Chad,65688233,69804277
2023,TGO,Togo,160530,160530
2023,THA,Thailand,26028181,26028181
2023,TLS,Timor-Leste,2116169,2116169
2023,TON,Tonga,1259935,1259935
2023,TTO,Trinidad and Tobago,422929,422929
2023,TUN,Tunisia,953798,953798
2023,TUR,Turkey,151287349,151287349
2023,TUV,Tuvalu,38152,38152
2023,TWN,Taiwan,161290,161290
2023,TZA,Tanzania,49970537,47220746
2023,UGA,Uganda,99569964,107337995
2023,UKR,Ukraine,1014442971,1014658561
2023,URY,Uruguay,23297,23297
2023,UZB,Uzbekistan,66766,99763
2023,VCT,St. Vincent and Grenadines,140200,140200
2023,VEN,Venezuela,145046492,156663747
2023,VNM,Vietnam,1225000,1225000
2023,VUT,Vanuatu,1726003,1726003
2023,WAN,West Africa Region,8833046,10368306
2023,WHN,Western Hemisphere Region,304827531,305034252
2023,WLD,World,873794777,780379166
2023,WSM,Samoa,18313,18313
2023,YEM,Yemen,838653762,959871100
2023,ZAF,South Africa,1689550,2816453
2023,ZMB,Zambia,1442338,1442338
2023,ZWE,Zimbabwe,55745309,88972237
